date,year,month,day,doy,dow,all,all_0_64,all_65_74,all_75_84,all_85plus,tmean
2020-06-01,2020,6,1,153,Wed,144,25,18,38,63,26.17558824
2020-06-02,2020,6,2,154,Thu,154,15,20,35,84,27.46683824
2020-06-03,2020,6,3,155,Fri,134,12,23,27,72,22.96176471
2020-06-04,2020,6,4,156,Sat,154,13,17,41,83,14.74625
2020-06-05,2020,6,5,157,Sun,149,16,19,34,80,14.28919118
2020-06-06,2020,6,6,158,Mon,125,17,11,32,65,16.24095588
2020-06-07,2020,6,7,159,Tue,116,13,15,26,62,18.4075
2020-06-08,2020,6,8,160,Wed,117,13,15,35,54,16.74316176
2020-06-09,2020,6,9,161,Thu,140,11,21,38,70,16.09639706
2020-06-10,2020,6,10,162,Fri,146,19,22,30,75,17.98683824
2020-06-11,2020,6,11,163,Sat,147,18,24,40,65,20.79823529
2020-06-12,2020,6,12,164,Sun,148,20,15,35,78,22.87661765
2020-06-13,2020,6,13,165,Mon,141,16,8,27,90,25.12051471
2020-06-14,2020,6,14,166,Tue,148,14,13,38,83,22.77985294
2020-06-15,2020,6,15,167,Wed,158,13,17,43,85,24.03205882
2020-06-16,2020,6,16,168,Thu,151,18,20,44,69,23.47323529
2020-06-17,2020,6,17,169,Fri,134,14,12,24,84,22.57698529
2020-06-18,2020,6,18,170,Sat,128,13,16,34,65,21.93426471
2020-06-19,2020,6,19,171,Sun,122,17,16,37,52,21.50433824
2020-06-20,2020,6,20,172,Mon,113,14,14,23,62,22.08455882
2020-06-21,2020,6,21,173,Tue,118,16,16,23,63,23.48897059
2020-06-22,2020,6,22,174,Wed,131,17,17,36,61,22.59007353
2020-06-23,2020,6,23,175,Thu,138,12,17,27,82,26.71985294
2020-06-24,2020,6,24,176,Fri,153,18,18,40,77,29.82051471
2020-06-25,2020,6,25,177,Sat,149,15,20,28,86,29.54272059
2020-06-26,2020,6,26,178,Sun,150,11,20,41,78,28.84977941
2020-06-27,2020,6,27,179,Mon,132,11,20,28,73,24.35272059
2020-06-28,2020,6,28,180,Tue,137,14,19,29,75,21.17183824
2020-06-29,2020,6,29,181,Wed,138,18,18,29,73,19.77816176
2020-06-30,2020,6,30,182,Thu,134,19,18,32,65,19.86433824
2020-07-01,2020,7,1,183,Fri,144,13,17,31,83,20.76411765
2020-07-02,2020,7,2,184,Sat,119,14,15,27,63,20.25566176
2020-07-03,2020,7,3,185,Sun,121,14,15,36,56,21.07882353
2020-07-04,2020,7,4,186,Mon,126,12,18,34,62,20.40367647
2020-07-05,2020,7,5,187,Tue,115,13,15,29,58,21.98220588
2020-07-06,2020,7,6,188,Wed,108,13,19,25,51,19.16264706
2020-07-07,2020,7,7,189,Thu,134,18,17,26,73,20.94720588
2020-07-08,2020,7,8,190,Fri,113,18,13,25,57,17.50169118
2020-07-09,2020,7,9,191,Sat,134,16,15,29,74,23.82764706
2020-07-10,2020,7,10,192,Sun,137,17,21,36,63,19.53110294
2020-07-11,2020,7,11,193,Mon,110,11,17,29,53,20.16617647
2020-07-12,2020,7,12,194,Tue,124,15,18,28,63,21.63301471
2020-07-13,2020,7,13,195,Wed,122,12,25,25,60,24.58801471
2020-07-14,2020,7,14,196,Thu,121,15,12,27,67,19.73698529
2020-07-15,2020,7,15,197,Fri,145,17,17,36,75,20.24316176
2020-07-16,2020,7,16,198,Sat,132,16,14,34,68,17.73102941
2020-07-17,2020,7,17,199,Sun,134,14,22,27,71,21.97801471
2020-07-18,2020,7,18,200,Mon,137,11,8,33,85,25.74852941
2020-07-19,2020,7,19,201,Tue,144,9,18,45,72,25.52205882
2020-07-20,2020,7,20,202,Wed,132,18,26,23,65,21.45051471
2020-07-21,2020,7,21,203,Thu,110,11,9,32,58,21.88323529
2020-07-22,2020,7,22,204,Fri,136,14,17,29,76,22.09389706
2020-07-23,2020,7,23,205,Sat,143,23,17,35,68,25.6325
2020-07-24,2020,7,24,206,Sun,131,13,17,34,67,22.97375
2020-07-25,2020,7,25,207,Mon,134,14,16,30,74,24.21375
2020-07-26,2020,7,26,208,Tue,136,19,16,22,79,22.60963235
2020-07-27,2020,7,27,209,Wed,131,14,24,27,66,28.34404412
2020-07-28,2020,7,28,210,Thu,139,11,16,49,63,22.02705882
2020-07-29,2020,7,29,211,Fri,155,20,20,41,74,23.09227941
2020-07-30,2020,7,30,212,Sat,148,17,15,42,74,28.58588235
2020-07-31,2020,7,31,213,Sun,152,18,17,32,85,35.78676471
2020-08-01,2020,8,1,214,Mon,153,12,23,33,85,27.99455882
2020-08-02,2020,8,2,215,Tue,136,16,17,26,77,23.28220588
2020-08-03,2020,8,3,216,Wed,126,12,15,37,62,22.36955882
2020-08-04,2020,8,4,217,Thu,125,18,20,24,63,23.46235294
2020-08-05,2020,8,5,218,Fri,141,16,21,32,72,28.76441176
2020-08-06,2020,8,6,219,Sat,166,20,16,53,77,31.485
2020-08-07,2020,8,7,220,Sun,154,18,27,33,76,33.95161765
2020-08-08,2020,8,8,221,Mon,167,18,14,47,88,35.63742647
2020-08-09,2020,8,9,222,Tue,168,12,21,40,95,33.82242647
2020-08-10,2020,8,10,223,Wed,214,22,28,41,123,33.86058824
2020-08-11,2020,8,11,224,Thu,207,19,13,48,127,33.14044118
2020-08-12,2020,8,12,225,Fri,256,30,32,51,143,33.23382353
2020-08-13,2020,8,13,226,Sat,271,20,29,69,153,31.01154412
2020-08-14,2020,8,14,227,Sun,225,24,30,55,116,26.22301471
2020-08-15,2020,8,15,228,Mon,212,19,25,41,127,26.79669118
2020-08-16,2020,8,16,229,Tue,174,14,22,44,94,29.11080882
2020-08-17,2020,8,17,230,Wed,162,7,17,40,98,24.79088235
2020-08-18,2020,8,18,231,Thu,153,13,23,36,81,24.11389706
2020-08-19,2020,8,19,232,Fri,181,28,23,34,96,26.59838235
2020-08-20,2020,8,20,233,Sat,165,14,23,30,98,31.28566176
2020-08-21,2020,8,21,234,Sun,155,19,21,35,80,27.84779412
2020-08-22,2020,8,22,235,Mon,139,14,17,30,78,23.3625
2020-08-23,2020,8,23,236,Tue,159,22,15,40,82,20.45455882
2020-08-24,2020,8,24,237,Wed,131,16,20,34,61,20.77014706
2020-08-25,2020,8,25,238,Thu,167,21,18,42,86,23.76963235
2020-08-26,2020,8,26,239,Fri,151,13,24,38,76,20.25213235
2020-08-27,2020,8,27,240,Sat,129,18,16,31,64,22.53558824
2020-08-28,2020,8,28,241,Sun,139,16,17,37,69,20.62161765
2020-08-29,2020,8,29,242,Mon,135,13,15,39,68,18.96808824
2020-08-30,2020,8,30,243,Tue,120,16,8,32,64,19.79404412
2020-08-31,2020,8,31,244,Wed,141,19,18,37,67,17.78698529
