date,year,month,day,doy,dow,all,all_0_64,all_65_74,all_75_84,all_85plus,tmean
2020-06-01,2020,6,1,153,Wed,110,15,21,32,42,26.17558824
2020-06-02,2020,6,2,154,Thu,121,19,29,38,35,27.46683824
2020-06-03,2020,6,3,155,Fri,138,32,24,36,46,22.96176471
2020-06-04,2020,6,4,156,Sat,132,20,26,36,50,14.74625
2020-06-05,2020,6,5,157,Sun,110,20,31,29,30,14.28919118
2020-06-06,2020,6,6,158,Mon,116,30,27,28,31,16.24095588
2020-06-07,2020,6,7,159,Tue,96,16,23,27,30,18.4075
2020-06-08,2020,6,8,160,Wed,130,31,26,36,37,16.74316176
2020-06-09,2020,6,9,161,Thu,136,26,32,34,44,16.09639706
2020-06-10,2020,6,10,162,Fri,143,33,32,37,41,17.98683824
2020-06-11,2020,6,11,163,Sat,139,37,31,34,37,20.79823529
2020-06-12,2020,6,12,164,Sun,122,23,25,44,30,22.87661765
2020-06-13,2020,6,13,165,Mon,125,21,24,43,37,25.12051471
2020-06-14,2020,6,14,166,Tue,117,23,27,31,36,22.77985294
2020-06-15,2020,6,15,167,Wed,134,25,28,35,46,24.03205882
2020-06-16,2020,6,16,168,Thu,125,17,25,37,46,23.47323529
2020-06-17,2020,6,17,169,Fri,142,28,32,35,47,22.57698529
2020-06-18,2020,6,18,170,Sat,129,23,27,38,41,21.93426471
2020-06-19,2020,6,19,171,Sun,115,18,21,37,39,21.50433824
2020-06-20,2020,6,20,172,Mon,130,32,28,33,37,22.08455882
2020-06-21,2020,6,21,173,Tue,123,21,32,28,42,23.48897059
2020-06-22,2020,6,22,174,Wed,136,25,33,43,35,22.59007353
2020-06-23,2020,6,23,175,Thu,136,34,26,35,41,26.71985294
2020-06-24,2020,6,24,176,Fri,137,26,40,38,33,29.82051471
2020-06-25,2020,6,25,177,Sat,132,36,30,27,39,29.54272059
2020-06-26,2020,6,26,178,Sun,169,29,38,59,43,28.84977941
2020-06-27,2020,6,27,179,Mon,141,26,38,32,45,24.35272059
