date,year,month,day,doy,dow,all,all_0_64,all_65_74,all_75_84,all_85plus,tmean
2020-06-01,2020,6,1,153,Wed,254,40,39,70,105,26.17558824
2020-06-02,2020,6,2,154,Thu,275,34,49,73,119,27.46683824
2020-06-03,2020,6,3,155,Fri,272,44,47,63,118,22.96176471
2020-06-04,2020,6,4,156,Sat,286,33,43,77,133,14.74625
2020-06-05,2020,6,5,157,Sun,259,36,50,63,110,14.28919118
2020-06-06,2020,6,6,158,Mon,241,47,38,60,96,16.24095588
2020-06-07,2020,6,7,159,Tue,212,29,38,53,92,18.4075
2020-06-08,2020,6,8,160,Wed,247,44,41,71,91,16.74316176
2020-06-09,2020,6,9,161,Thu,276,37,53,72,114,16.09639706
2020-06-10,2020,6,10,162,Fri,289,52,54,67,116,17.98683824
2020-06-11,2020,6,11,163,Sat,286,55,55,74,102,20.79823529
2020-06-12,2020,6,12,164,Sun,270,43,40,79,108,22.87661765
2020-06-13,2020,6,13,165,Mon,266,37,32,70,127,25.12051471
2020-06-14,2020,6,14,166,Tue,265,37,40,69,119,22.77985294
2020-06-15,2020,6,15,167,Wed,292,38,45,78,131,24.03205882
2020-06-16,2020,6,16,168,Thu,276,35,45,81,115,23.47323529
2020-06-17,2020,6,17,169,Fri,276,42,44,59,131,22.57698529
2020-06-18,2020,6,18,170,Sat,257,36,43,72,106,21.93426471
2020-06-19,2020,6,19,171,Sun,237,35,37,74,91,21.50433824
2020-06-20,2020,6,20,172,Mon,243,46,42,56,99,22.08455882
2020-06-21,2020,6,21,173,Tue,241,37,48,51,105,23.48897059
2020-06-22,2020,6,22,174,Wed,267,42,50,79,96,22.59007353
2020-06-23,2020,6,23,175,Thu,274,46,43,62,123,26.71985294
2020-06-24,2020,6,24,176,Fri,290,44,58,78,110,29.82051471
2020-06-25,2020,6,25,177,Sat,281,51,50,55,125,29.54272059
2020-06-26,2020,6,26,178,Sun,319,40,58,100,121,28.84977941
2020-06-27,2020,6,27,179,Mon,273,37,58,60,118,24.35272059
2020-06-28,2020,6,28,180,Tue,264,36,46,69,113,21.17183824
2020-06-29,2020,6,29,181,Wed,255,48,42,55,110,19.77816176
2020-06-30,2020,6,30,182,Thu,249,41,44,67,97,19.86433824
2020-07-01,2020,7,1,183,Fri,275,41,55,63,116,20.76411765
2020-07-02,2020,7,2,184,Sat,266,50,42,63,111,20.25566176
2020-07-03,2020,7,3,185,Sun,252,41,41,64,106,21.07882353
2020-07-04,2020,7,4,186,Mon,240,32,34,68,106,20.40367647
2020-07-05,2020,7,5,187,Tue,231,36,36,62,97,21.98220588
2020-07-06,2020,7,6,188,Wed,212,34,44,58,76,19.16264706
2020-07-07,2020,7,7,189,Thu,255,39,47,55,114,20.94720588
2020-07-08,2020,7,8,190,Fri,235,39,41,58,97,17.50169118
2020-07-09,2020,7,9,191,Sat,260,42,40,69,109,23.82764706
2020-07-10,2020,7,10,192,Sun,254,47,41,69,97,19.53110294
2020-07-11,2020,7,11,193,Mon,231,39,41,62,89,20.16617647
2020-07-12,2020,7,12,194,Tue,235,40,45,57,93,21.63301471
2020-07-13,2020,7,13,195,Wed,244,34,62,59,89,24.58801471
2020-07-14,2020,7,14,196,Thu,235,50,36,49,100,19.73698529
2020-07-15,2020,7,15,197,Fri,303,59,41,84,119,20.24316176
2020-07-16,2020,7,16,198,Sat,269,40,47,74,108,17.73102941
2020-07-17,2020,7,17,199,Sun,259,36,44,69,110,21.97801471
2020-07-18,2020,7,18,200,Mon,274,41,36,68,129,25.74852941
2020-07-19,2020,7,19,201,Tue,275,37,46,81,111,25.52205882
2020-07-20,2020,7,20,202,Wed,249,42,51,52,104,21.45051471
2020-07-21,2020,7,21,203,Thu,240,31,35,73,101,21.88323529
2020-07-22,2020,7,22,204,Fri,258,45,44,59,110,22.09389706
2020-07-23,2020,7,23,205,Sat,300,56,53,79,112,25.6325
2020-07-24,2020,7,24,206,Sun,250,31,45,67,107,22.97375
2020-07-25,2020,7,25,207,Mon,239,38,44,53,104,24.21375
2020-07-26,2020,7,26,208,Tue,274,45,40,71,118,22.60963235
2020-07-27,2020,7,27,209,Wed,261,47,48,61,105,28.34404412
2020-07-28,2020,7,28,210,Thu,270,38,39,96,97,22.02705882
2020-07-29,2020,7,29,211,Fri,277,31,48,77,121,23.09227941
2020-07-30,2020,7,30,212,Sat,284,48,44,77,115,28.58588235
2020-07-31,2020,7,31,213,Sun,297,46,51,79,121,35.78676471
2020-08-01,2020,8,1,214,Mon,292,34,56,66,136,27.99455882
2020-08-02,2020,8,2,215,Tue,266,45,37,70,114,23.28220588
2020-08-03,2020,8,3,216,Wed,260,39,43,71,107,22.36955882
2020-08-04,2020,8,4,217,Thu,263,43,47,61,112,23.46235294
2020-08-05,2020,8,5,218,Fri,269,31,51,73,114,28.76441176
2020-08-06,2020,8,6,219,Sat,309,52,52,90,115,31.485
2020-08-07,2020,8,7,220,Sun,304,53,55,67,129,33.95161765
2020-08-08,2020,8,8,221,Mon,311,43,41,96,131,35.63742647
2020-08-09,2020,8,9,222,Tue,330,31,49,99,151,33.82242647
2020-08-10,2020,8,10,223,Wed,383,64,55,88,176,33.86058824
2020-08-11,2020,8,11,224,Thu,404,55,54,110,185,33.14044118
2020-08-12,2020,8,12,225,Fri,447,62,72,113,200,33.23382353
2020-08-13,2020,8,13,226,Sat,492,61,83,128,220,31.01154412
2020-08-14,2020,8,14,227,Sun,416,47,76,109,184,26.22301471
2020-08-15,2020,8,15,228,Mon,397,53,53,104,187,26.79669118
2020-08-16,2020,8,16,229,Tue,343,44,58,85,156,29.11080882
2020-08-17,2020,8,17,230,Wed,331,42,58,73,158,24.79088235
2020-08-18,2020,8,18,231,Thu,322,51,55,84,132,24.11389706
2020-08-19,2020,8,19,232,Fri,342,55,66,76,145,26.59838235
2020-08-20,2020,8,20,233,Sat,340,52,49,87,152,31.28566176
2020-08-21,2020,8,21,234,Sun,310,49,51,80,130,27.84779412
2020-08-22,2020,8,22,235,Mon,280,44,41,70,125,23.3625
2020-08-23,2020,8,23,236,Tue,290,42,41,77,130,20.45455882
2020-08-24,2020,8,24,237,Wed,266,39,54,76,97,20.77014706
2020-08-25,2020,8,25,238,Thu,296,47,46,83,120,23.76963235
2020-08-26,2020,8,26,239,Fri,299,37,63,79,120,20.25213235
2020-08-27,2020,8,27,240,Sat,252,42,40,67,103,22.53558824
2020-08-28,2020,8,28,241,Sun,272,48,35,80,109,20.62161765
2020-08-29,2020,8,29,242,Mon,248,39,39,66,104,18.96808824
2020-08-30,2020,8,30,243,Tue,246,38,33,61,114,19.79404412
2020-08-31,2020,8,31,244,Wed,267,48,43,73,103,17.78698529
